Brand,ID,Rating,Sentiment,Combined_Text,VADER_Sentiment,VADER_Compound,VADER_Correct
Nike,505931,2.0,negative,"Size is not as advertised. The Revolution has changed a lot. This R8 is not even wide as it used to be and the size runs smaller than what it is. Try one number bigger and yet, the shoe feels tight since it is not wide",positive,0.0772,False
Nike,485102,5.0,positive,I truly love these shoes.  The fit and the comfort are great!  The price is very reasonable!,positive,0.95,True
Nike,602645,5.0,positive,Great value and true to size. Really comfy and supportive! Got these in pink and they go with everything,positive,0.9013,True
Nike,603039,5.0,positive,Checks all the boxes!. Great fit! Extremely comfortable! Excellent craftsmanship! This shoe checks all the boxes,positive,0.9463,True
Nike,615043,1.0,negative,"Just bad. I purchased it for running on the treadmill; however, it turned out to be excessively bouncy. Consequently, I attempted to use it for daily wear, but the front is too narrow, causing discomfort on the side of my pinky toe",negative,-0.714,True
Nike,596870,5.0,positive,Great training shoes for regular short road runs.,positive,0.6249,True
Nike,614245,5.0,positive,Comfortable running shoes. I’ve gone on 5 runs since I’ve got these hands down one of my favorites. Great buy,positive,0.8807,True
Nike,597047,5.0,positive,"Good Stuff 👍. Awesome sneaker, brilliantly white and clean. Comfortable as a daily shoe, but also fits into my rotation of running/training sneakers like a glove",positive,0.8674,True
Nike,596901,5.0,positive,"Best. Ever.. My 5th or 6th pair of Pegasus. They’re incredible, and keep getting better every year",positive,0.7964,True
Nike,594336,5.0,positive,"Another good shoe. As expected, a shoe that I can wear straight out of the box and run with no issues",positive,0.3818,True
Nike,601859,5.0,positive,Great sneakers. Our son loves these sneakers! He only complains about the laces - says they come untied often,positive,0.7574,True
Nike,595049,5.0,positive,Bright PINK for confidence!. I've worn Nike Pegasus for several years and love them. The first time I purchased the VERY bright pink ones I wasn't sure that I could pull them off. But they are my super power! They give me confidence and I get compliments on them all the time,positive,0.9683,True
Nike,594233,5.0,positive,Worth the money. Bought for my wife and has allready put 15 miles on them in the past 4 days and she says they feel great and likes the color !!!,positive,0.865,True
Nike,590099,2.0,negative,"Stylish but not a running shoe. The fit was acceptable and the shoes look fine, but comfort is a deal-breaker for running shoes.  I wouldn’t recommend these for runners who need cushioning or are sensitive to pressure points on the sole. They may work better for someone who prefers an extremely firm, minimalist feel, but they weren’t suitable for my needs",positive,0.9428,False
Nike,590100,5.0,positive,"Great Running Shoes for a Variety of Running Styles!. I have two pairs of these shoes, and they are my new favorite running shoes. They provide just enough support and cushioning while still being comfortable and responsive. I highly recommend them!",positive,0.9564,True
Nike,590009,5.0,positive,"Pegasus 41s are the best. At 70 yrs old I don’t run anymore but stay very active, average 10k steps a day. By far the best,most comfortable athletic shoes I have ever purchased. They combining great cushion that holds up and a spring energy effect hard to describe",positive,0.9625,True
Nike,600004,5.0,positive,"So Comfortable!. Love these shoes! I use them for running, working out and everyday errands",positive,0.8643,True
Nike,599934,5.0,positive,Love. Favorite pair of tennis shoes they are very comfortable. Def will buy again,positive,0.8955,True
Nike,587728,4.0,positive,Nice shoe but arrived stained!. Like the look and the shoe feels nice but the right shoe arrived stained; tried cleaning it but did not go away. Was thinking of exchanging but it will take forever to get replacement bc of the holidays,positive,0.9108,True
Nike,584830,5.0,positive,My son loves this shoe so much that he thanked me for glazing him!. Our 11 year old needed new running shoes for his track workouts.  He tried them on and instantly reported these were the most comfortable shoes he’s ever worn.  Looks like we’ve found a winner for training shoes.  I suspect we will become repeat buyers!,positive,0.9284,True
Nike,579386,5.0,positive,"Very Comfortable. Exactly what I expected, they look cool and are very comfortable",positive,0.8586,True
Nike,579545,5.0,positive,confortable and fast. Found it feeling very similar to my old pegasus 32.,positive,0.128,True
Nike,579528,5.0,positive,"Very comfortable. I normal size was 37 but 38 fit me well. The shoes are extremely comfortable. You barely even feel them while running. They have a supportive heel pad, and the fit adapts nicely to your foot. There’s no uncomfortable pressure inside. Honestly, I’m really impressed",positive,0.9888,True
Nike,578521,5.0,positive,"My ""ump-teenth"" pair!  I have tried other brands and even other Nike styles, but the Pegasus (and particularly the Pegasus 41) is the best shoe ever!",positive,0.8118,True
Nike,576316,5.0,positive,Must buy. My wife and I both got a pair. One of the most comfortable shoes I’ve ever worn,positive,0.3384,True
Nike,571413,5.0,positive,Smart comfortable trainer. Bright smart looking trainer with a great blue. Comfortable to wear. The air zoom gives good support and a noticeable bounce to your step. Very happy with these,positive,0.981,True
Nike,571583,5.0,positive,"Soft and nice - the legend. Excellent design and softness - true to its name, the legendary Pegasus",positive,0.8519,True
Nike,568419,4.0,positive,One for all shoe. Great all-rounder shoe. Just size up as they run narrow and the toe box tapers quite a bit,positive,0.6249,True
Nike,566448,5.0,positive,"Fabulous. I've never written a review of trainers in my life!! But these are amazing. So my price point is normally a little lower, I would go for style but I'm mid 40s ans wanted something stylish yet supportive for my feet. These are light, roomy  comfy, good arch support, look great too. Highly recommend  ..from a non sporty busy Mum",positive,0.9775,True
Nike,564601,5.0,positive,"Go Half Size Up for the 41. I’ve worn Pegasus for years and buy a new pair every year. This year I had to size up by a half size to get the typical fit. They run small and more narrow in the toe. As a teacher, I can be on my feet all day in these and not have foot or back pain",negative,-0.4588,False
Nike,563438,5.0,positive,"Perfect fit, true to size, super comfortable. Purchased for my Mom.  She loves these.  So comfortable.  Perfect fit!",positive,0.9842,True
Nike,558170,5.0,positive,"Perfect everyday running shoe. I love Pegasus 41 for everyday running shoes they are comfortable, I’m normally UK size 5 but I always go up  half a size for running.  They wear away on the mid sole but I do a lot of running (100kM per month) This is my 3rd pair, so I would recommend them, they last longer than Hoka Clifton’s",positive,0.8672,True
Nike,552754,5.0,positive,"Nike Pegasus running shoes. Great running shoes, its my second pair of Pegasus trainers and I would highly recommend them",positive,0.7841,True
Nike,557710,5.0,positive,"Awesome shoe. The Pegasus 41 is my favorite shoe. It fits perfectly, and supports my feet when I’m running or walking. It looks good too!",positive,0.9516,True
Nike,557708,5.0,positive,Runs big. Beautiful shoe. Only downside is that they are huge. Size down by at least a half. Maybe even a full size down,positive,0.6369,True
Nike,556981,5.0,positive,Great all-around running shoe. Really comfortable and supportive running shoe. Fairly light weight and great traction and stability both indoors and outdoors,positive,0.9355,True
Nike,552031,4.0,positive,"Excellent cushioning. I'd say to go a size up.. A little snug.  The cushioning is absolutely amazing!! It seems to form to your foot. Working in healthcare, I move a lot. I'd definitely say, it's worth it",positive,0.9182,True
Nike,544836,5.0,positive,Amazon sneakers. This is one of my favorite running sneakers. I have been running lately and these are so supportive and they are not extremely expensive. These shoes are also good designs and are amazing in comfort. This is an amazing sneaker and I would recommend them to anyone,positive,0.9685,True
Nike,544306,5.0,positive,"love pegasus line. I love the pegasus line and have for years - I wear out a pair, I order a new pair. They fit perfectly on my feet, I use them daily!  Mine tend to last about 6 months of daily wear of half a mile to two miles before I start to notice my strike points wearing down. This color way is particularly fun!",positive,0.9627,True
Nike,541161,5.0,positive,beautiful shoe. beautiful shoe!  bought another pair!  they look great and are very responsive!  love the feel too!,positive,0.9696,True
Nike,531063,5.0,positive,"Comfortable, stylish and easy. Great looking shoe and the only pair/brand that be tried so far that allowed me to do a full walk without hip pain",positive,0.9186,True
Nike,531062,4.0,positive,Pegasus. The outer sole is a thin waffle like material diamond shaped that provides decent traction. Only time will tell of its resilience to wear.  I enjoyed walking jogging and running so 👍,positive,0.802,True
Nike,523907,5.0,positive,Trainers. Love these trainers. Will be buying them in different colours,positive,0.6369,True
Nike,523904,5.0,positive,Great trainers. Love these vibrant colour and very comfortable,positive,0.9459,True
Nike,530771,5.0,positive,Awesome! Would buy multiple pairs. Loved running in them! A big difference between the 40s and 41s. The Pegasus 41s are so much better and more comfortable,positive,0.9465,True
Nike,524428,5.0,positive,"My go to running shoe. I've purchased numerous pairs of this Nike Pegasus shoe, and I will keep coming back for more. I go through running shoes about every 4 to 6 months, and I've tried to cut corners, buy a less expensive shoe/brand, etc. Every time I swayed away from this Nike shoe, I've paid the price. Lesson learned.   I don't have flat feet, so this shoe's shape and structure work great for me which is to say that if you don't have ""regular"" arches, I don't know if this shoe will work for you. The cushioning provides comfort and support, even with my bunions, without feeling too ""airy"" or like I'm weighted down.    I wear a lot of Nike shoes for fashion, but these are my absolute favorite for running. I highly recommend!",positive,0.9208,True
Nike,523331,5.0,positive,"Absolutely love them. Im a coach and always on the lookout for new shoes. Whether in the classroom or on the field these are a great option. I coach softball so I was looking for something with some stability but moving around for 8 hours a day I didn't want to sacrifice on cushion. I love the cushion provided on the heel and with the air zoom technology it was some good cushion in the forefront too. Honestly Air Zoom tech might be the best thing Nike ever did. I feel like my foot is stable in this shoe and I can make lateral movements without feeling like my ankle might roll or my foot sliding to the side of the shoe. Great shoe, great build, and the look is fantastic as well",positive,0.994,True
Nike,523105,5.0,positive,"Nike Pegasus 41 Men's Road Running Shoes.. Meets my expectations , I recommend",positive,0.3612,True
Nike,601860,4.0,positive,"So comfortable. I bought these a week ago, and I ran with them twice since purchasing them. They are so comfortable! I bought them when Dick was having their two days ago so I gotta steal on them and they are so worth it! I definitely would recommend them",positive,0.8536,True
Nike,519816,5.0,positive,"Best running shoes, very comfortable and the lightweight is perfect for my needs",positive,0.9099,True
Nike,519533,5.0,positive,Great running shoes. My son loves these for running cross country!  Great fit and comfort level!,positive,0.9551,True
Nike,517753,4.0,positive,"Great fitting, faster runs. Great show, plenty toe box room. True to size. Felt very stable in them. Longer runs felt some fatigue in my feet, but might just be me. Great shoe wear daily if needed too",positive,0.9169,True
Nike,517647,5.0,positive,Fits true to size.   No break in period.   These or vomeros are my two favs.,positive,0.1531,True
Nike,515669,1.0,negative,Poor sole wear. Poor running shoes the sole is falling apart after less than 100 miles. I had Pegasus 39 before and the wear on those wasn’t brilliant but a lot better than the 41. This is from running short distance in dry conditions on smooth tarmac road surface. Very disappointed,negative,-0.4097,True
Nike,517441,5.0,positive,"The heart of the classic nike rotation. This is a really good Pegasus. I’ve ran in versions 37, 38, 39, 40, and now 41, and I have to say this is the best one yet for what it is - a mileage workhorse. This is not the fastest shoe in the market, not the most cushioned shoe in the market, nor the most supportive. However, it is responsive, relatively lightweight, and stable enough to allow you to show up and log mile after mile after mile without it feeling like a chore. Especially with the new wider toe box, this really is now the shoe for those 30 to 90 minute every day runs that allow you to build your fitness from the ground up day after day. Perfect for easy runs with strides, medium long runs, and maybe a little bit of uptempo if you’re feeling good that day. Also great for doing warmups, drills, cooldowns, and light gym work.  The only downside with this shoe is that, compared to Pegasus of the past, working out in this shoe does leave a lot to be desired. But then again, it got a lot better at long runs and recovery runs, which suggests that this really is that mileage shoe with a classic feeling for every day runs when you don’t want to overdo it.  If you don’t like ground feel and you prefer a more cruise-y / rockered ride, then I would look at the Vomero instead. And if you need a faster shoe, I would look at the Zoom Fly, Vaporfly, or Alphafly depending on your budget and your needs",positive,0.9764,True
Nike,515986,5.0,positive,Would buy again and again!!. Love these so comfortable!!! I use these for work everyday and they feel awesome,positive,0.9332,True
Nike,515842,5.0,positive,"I loved these! Great cushion and feel. Love the shoelaces, the small touches make this one of the best every day shoes I’ve seen in a while.",positive,0.9565,True
Nike,515841,5.0,positive,Love these shoes. They always fit perfectly and need no breaking in- put them on and ready to go.,positive,0.9042,True
Nike,515720,5.0,positive,The shoe felt very soft against the ground during run. Bouncey I use for all my runs Variety of surfaces,negative,0.0,False
Nike,515597,1.0,negative,Stiff Shoes. They are very lightweight but they are very stiff and not very padded and bouncy feeling,positive,0.1901,False
Nike,515286,5.0,positive,I’ve worn them for running ever since I got them and they feel great on my feet! My old shoes gave me so many blisters and calluses and my feet have been freed from this plague 🙏,positive,0.7088,True
Nike,512430,5.0,positive,Go-to Shoes for Daily Runs/ Walks!. Extremely light and comfortable—perfect for long runs or all-day wear. The Nike Pegasus 41 offers great cushioning without feeling bulky. Highly recommended!,positive,0.7512,True
Nike,512212,4.0,positive,"Great shows. Really like these. Fit comfortably and are very breathable. I bought the volt/neon yellow colored ones and my one complaint is even with sealing them, they mark up extremely easily. I’ve had many other pairs in this color that haven’t marked up as easily so it’s a bit strange. But overall I do like these!",positive,0.8838,True
Nike,509553,2.0,negative,"Major flaw that shouldn't exist. Shoes are great. One very stupid problem that simply shouldn't exist:   Inside the left shoe, on the sole there's a sticker. That sticker is incredibly hard to remove. Having got most of it off, a VERY sticky residue remains.  It is so sticky that when taking the shoe off, the sole is very firmly stuck to my sock such that it pulled the inner sole out",negative,-0.6749,True
Nike,506453,5.0,positive,"Great fit, quality and comfort and look great too!. Already had a pair of these which are great. Started doing some track training so these are a second purchase for road running. Great fit, quality and comfort! I have a wide foot and these fit really well",positive,0.9847,True
Nike,504788,5.0,positive,Similar to Bowerman series - wide toe box! Love this shoe!. LOVE this shoe!!! If you were a fan of the Bowerman series you will appreciate this shoe! Lots of cushioning and stability- your foot is supported and stays in place. Great support in arch and cushion throughout. This is a comfortable everyday running shoe. I have a narrow heel but require a wide toebox and this fits like a glove,positive,0.9564,True
Nike,504789,5.0,positive,"Shoes. Very good and comfortable, very good for impact while running. Also very stylish, felt like 2009 Bama wearing these shoes",positive,0.9138,True
Nike,501591,5.0,positive,"Comfortable,  toe box room .. Very comfortable,  purchased for comfortable  daily wear,  casual days for summer . Great support with toe room .Plan to buy another style next",positive,0.9571,True
Nike,501286,5.0,positive,"Great footwear for running, working out and overall daily walking.",positive,0.6249,True
Nike,500082,5.0,positive,"Snug as a Bug. This was a great purchase.  The trainers are light, fit really well and most importantly provide a great cushion under feet to help you pound the pavement",positive,0.9544,True
Nike,500468,5.0,positive,"Nice for running and everyday wear. I love everything about these shoes! The fit is perfect; the colors really pop, and they are very comfortable",positive,0.9523,True
Nike,500245,2.0,negative,"Incredibly disappointed. Incredibly disappointed with Nike's QC these days. Just a few months in and the sole is already peeling away. I liked everything else about this shoe, but geez, Nike, get it together. This the third pair of Nike running shoes I've purchased that had issues just a few months in",negative,-0.3869,True
Nike,500244,5.0,positive,"Nike for me. Made for comfort, I am on concrete all day and Pegasus are the best. My feet are worth it",positive,0.8225,True
Nike,498829,2.0,negative,Very comfortable and great shoe but started squeaking after the first week of wearing? Unsure why.,positive,0.3566,False
Nike,498830,5.0,positive,My husband loved tissue. Very comfortable. Especially working out.,positive,0.8173,True
Nike,498248,5.0,positive,"All-Time Favorite. Outstanding shoe. Stable, durable, jack of all trades. My all-time favorite",positive,0.9042,True
Nike,485932,5.0,positive,"Supported and comfortable. I purchased these to use on the treadmill, they are supportive and needed no breaking in, as for the colour, I love! Eye catching and a little different. These trainers run true to size",positive,0.9168,True
Nike,495483,5.0,positive,Awesome looking shoes. Awesome colors.  Get a lot of compliments.   Great fit,positive,0.9552,True
Nike,485834,5.0,positive,"I love them.. I love them! they look great and are extremely comfortable, you can walk hours with them, very light but great support",positive,0.9635,True
Nike,485835,5.0,positive,Great looking and comfortable running shoes! Just being using them for a few weeks on 10k runs and they feel perfect and as brand new,positive,0.908,True
Nike,495008,5.0,positive,Back to Nike the original experts!. They just feel wonderful on my feet. After using those max cushion brand H. I realized my feet hair didn’t feel right and it was too much “cushion” so I went back to Nike. Which I have been a Nike fan for all shoes for years. These 41s are perfect. Lighter springy feeling and I can feel the run more if that makes sense. Plus my feet aren’t sore when I take them off. I should have known Nike was my home,positive,0.8832,True
Nike,490043,5.0,positive,Versatile shoe. Great running shoe.Also a very neutral color way that makes it go with many different color schemes,positive,0.6249,True
Nike,485725,5.0,positive,Fat lad running. These are a great pair of trainers for me. I’m a big unit but completed a 5k plod like I was floating on air. Would highly recommend,positive,0.8587,True
Nike,601858,4.0,positive,"good, takes a minute to get use to it.. the store it self was a terrible experience trying to get these, sales people were no help. SO i bought them online and was quick and easy. the first week the shoes feel weird but as it goes on, they kind of shape into ur feet and becomes comfortable. Just wish they were a little more lighter",positive,0.8347,True
Nike,484985,5.0,positive,Comfortable & nice design!,positive,0.75,True
Nike,484671,5.0,positive,"They are slylish and comfortable. I’m just in love with these, they look great and also are comfortable! The best shoes for work and I’m a personal  trainer that I’m all day long running around",positive,0.9656,True
Nike,484615,5.0,positive,Great shoes. Great trainers.   Wear them to the gym.  Very comfortable great look.  My first Nike trainers won’t be my last,positive,0.9529,True
Nike,600175,5.0,positive,Always come back to the pegasus. I have tried them all and I always come back to these for walking 3+ miles a day. They have just the right support and stability for walking,positive,0.4019,True
Nike,483258,5.0,positive,Pegasus 41. I find these shoes to be very comfortable. I usually walk 4 miles a day 5 times a week. I like the looks of them too,positive,0.7264,True
Nike,483140,1.0,negative,"Shoes are nothing like previous pair of Pegasus 41, feels like I’m trying to run on bricks. Have tried breaking them in, they have over 35 miles in them and no change. Heel slip on this pair too.",negative,-0.2047,True
Nike,483100,5.0,positive,"Big improvement on my previous Adidas shoes.. My first Nike running shoes since 2010, I am really impressed with the comfort and support of this shoe. So much more comfortable than my previous Adidas shoes, no muscle pain and an almost effortless run for 40 minutes 3 times a week. I am very pleased and will buy another pair for casual use this summer during the sales!",positive,0.9649,True
Nike,479728,5.0,positive,"Great, all-around running/walking/living shoe. Nike nailed this one.. The Pegasus 41 is like an intelligent upgrade from the 40...same last, same perfect fit, but lighter, with better cushion (but still with the ability to ""feel the road"") and even better stability in the heel. I thought I'd found the perfect shoe in the 40, but the 41 is terrific all around. And I'm loving the colorways. Thank you, Nike, for not changing the last and for simply improving an already great shoe",positive,0.9936,True
Nike,479731,5.0,positive,"White, Not Sail. PSA: The “sail” colorway with blue tint accent is white, not sail. Compared to a brand new pair of “white” dunks.   Shoes are stupid comfy, like walking on clouds",negative,-0.2263,False
Nike,478942,5.0,positive,"Excellent. The Nike Pegasus line is elite, and they have produced several of my favorite running shoes over the years. The Nike Pegasus 41s are near the top of my list. They are more breathable than previous models due to the mesh upper. The sole is supportive with adequate cushion. The toe box feels slightly wider which I like. The support from the heel through the arch is incredible. The Pegasus 41s are an excellent combination of comfort and function. I have purchased serval pairs",positive,0.9682,True
Nike,476510,5.0,positive,Great running shoes. These were a gift for my grandson who is a runner.  He loves them and says they are extremely comfortable,positive,0.9359,True
Nike,476385,5.0,positive,"Best Ever Running Shoes. The best running shoes- I have been running Nike for several years now after trying Asics, Brooks, etc. Nike somehow fixed my flat foot and helped me build an arch again! Pegasus 41 does not disappoint!",positive,0.9051,True
Nike,476217,5.0,positive,LOVE. excellent underfoot comfort and cushioning + the upper feels like a hug!,positive,0.9518,True
Nike,476012,5.0,positive,"Great running shoe and great price!. I initially bought the $170 Pegasus but found them not great value for money. However, the Pegasus 41 are a GREAT value for money and just an outright super comfortable running shoe. It’s responsive and well cushioned and allows for a very natural running gait. Highly recommend",positive,0.9865,True
Nike,474028,5.0,positive,PERFECT. I love these sneakers. Fit great. Feels good on long walks. If on the fence size up. And I think look better than the pics. I got the gray,positive,0.9684,True
Nike,470920,5.0,positive,Thank you. I am very happy with my purchase.  Nike always amazes me with such great quality products,positive,0.9299,True
Nike,470586,5.0,positive,Best running shoe for indoor/outdoor. Have bought 4 pairs of Pegasus over the years and they remain my favorite running shoe.  I go 1/2 size up in these for comfort,positive,0.8658,True
Nike,470546,5.0,positive,COMFORTABLE!!!!!!!!!!! Point! Blank Period.. My job consist of me standing and walking for 8 hours and let me tell you these are the most comfortable shoes I’ve ever owned. They make me feel as if I’m walking on clouds. I love! love! love! these shoes,positive,0.9732,True
Nike,470540,5.0,positive,Perfect Beginner Shoe. Fantastic comfort. Great fit. Perfect runner for the new runner,positive,0.9643,True
Nike,470498,5.0,positive,"Very soft bounce, but not overly cushioned",negative,0.0,False
Nike,470135,4.0,positive,"Detailed review. The Nike Pegasus is a super comfy and reliable running shoe that’s perfect for just about anyone, whether you're a seasoned runner or just starting out. It has a breathable, light upper that keeps your feet cool and comfortable. The rubber outsole grips the ground really well, even in wet conditions, so you know it’ll last. They look great and I really liked the Blue/Grey colour of mine. While it might not be the absolute lightest or fastest shoe, the Pegasus offers the perfect balance of comfort, support, and durability for everyday runs and long-distance training",positive,0.9844,True
Nike,468948,5.0,positive,Great shoes!. These just arrived and the shipping was so fast!! Less than 24 hours from time of purchase to arriving at my door. I’m impressed. They fit like a glove. I feel like I’m walking on air. So happy with this purchase,positive,0.9653,True
Nike,586992,5.0,positive,"Great shoe, comfy and bouncy, would buy again. Whites clean",positive,0.7783,True
Nike,473222,5.0,positive,"Perfect. Very smooth, received in mail very fast. Son loves the shoes",positive,0.8255,True
Nike,468245,1.0,negative,Poor durabilty. Have run 298km and the heels are worn down so much there less than 1mm left. And I read they are durable!!!!,negative,-0.7556,True
Nike,465484,5.0,positive,"Very comfortable, high quality. Got these for long walks/light running. Very comfortable, I have wider feet and usually need a few days to break in most Nike sneakers but these fit perfect out of the box. Highly recommend!",positive,0.9507,True
Nike,465450,5.0,positive,The best trainers ive ever had.,positive,0.6369,True
Nike,465371,5.0,positive,"Love these shoes! The extra cushion is definitely a plus, it helps when you are on your feet all day.",positive,0.8687,True
Nike,465195,2.0,negative,Very comfortable but... I love mine but they are falling apart after 2 months :(,positive,0.5182,False
Nike,463443,5.0,positive,"Fantastic shoes!. OMG! This is how I felt when I stepped into these shoes for the very first time. It fit me like a glove, especially from the arch to the heel. Very comfortable, no break-in time. I have been wearing Peg (different version at each year) for years for my running and walking. This Peg 41 is the one of the best. The color I picked this time is very original, with the gold swoosh, and gold accent (both look like metal), I did not expect it and I really like it, It's very different color coordination from other running shoes in the market",positive,0.9697,True
Nike,462675,1.0,negative,Easily hardest trainer to keep clean they just gather dirt.,positive,0.4019,False
Nike,460486,5.0,positive,Go the distance with these!. I got my foot fitted and was recommended the Pegasus 41. Ran a half marathon in them paired with Creepers socks and was blown away how I had no pain in my feet. These shoes are great to train in and I plan on purchasing more pairs of these. I’m considering the goretex version for colder weather and wet days. Highly recommend these!,positive,0.8996,True
Nike,459874,2.0,negative,Unfortunately the seam is starting to pull apart on these shoes. We have only had for a week. I am uncertain if my son is just hard on shoes or if it is just a defect,negative,-0.7506,True
Nike,457348,5.0,positive,"Cute and comfortable!. The shoes are cute and super comfortable. The cushioning feels great, and no break in period",positive,0.9622,True
Nike,457289,5.0,positive,Beautiful trainers!. Beautiful trainers...fit like a glove!  Best to go 1/2 size up,positive,0.944,True
Nike,457209,5.0,positive,"Great, fun shoe. Love the color and very comfortable too!",positive,0.9476,True
Nike,454630,5.0,positive,"Great for road running. I purchased this pair of running shoes for my upcoming half marathon after reading numerous reviews. This is my first pair of Nike as I usually wear other brands with wider box but to my surprise these are wide enough, extremely comfortable, soft and cushioned. I am happy I have tried this new model",positive,0.9445,True
Nike,454420,5.0,positive,Comfortable for walking. These shoes are super comfortable,positive,0.8885,True
Nike,586995,5.0,positive,"Great everyday shoe. My son loves playing sports and with all that running, kicking jumping and wear due to weather conditions these NIKES have held up",positive,0.8625,True
Nike,452250,4.0,positive,Better than average shoe.. Maybe a little smaller length and width. Comfortable out of the box. Very light weight shoe. Would buy another pair. Little expensive,positive,0.7351,True
Nike,451487,4.0,positive,Pegasus.. Great really comfortable. Excellent,positive,0.9131,True
